{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 49, 9, 838764), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 49, 33, 924804), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 49, 58, 15441), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 50, 22, 105257), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 50, 46, 211899), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 51, 10, 302206), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 51, 34, 391651), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 51, 58, 481588), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 52, 22, 572287), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '0.00', 'status': 'OK', 'pH': '0.00', 'waterlevel': '0.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 52, 46, 664696), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 53, 10, 752456), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 53, 34, 841673), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 53, 58, 930584), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 54, 23, 23374), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 54, 47, 114537), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 55, 11, 205439), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 55, 35, 296053), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 55, 59, 387668), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 56, 23, 493022), 'humidity': '11', 'signature': 'AE6C88FE'}

{'temperature': '21', 'EC': '-1.00', 'status': 'OK', 'pH': '7.16', 'waterlevel': '6.00', 'timestamp': datetime.datetime(2018, 11, 24, 2, 56, 47, 581686), 'humidity': '11', 'signature': 'AE6C88FE'}

